"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
14,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","4",38000000,"1DK","30",,"","","","2007","RC","","","","",,"Commercial Zone",80,700,"1st quarter 2023","",""
15,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","2",31000000,"1K","20",,"","","","2006","SRC","House","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
16,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","2",30000000,"1K","20",,"","","","2006","SRC","","House","","",,"Commercial Zone",80,700,"1st quarter 2023","",""
17,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Iwamotocho","Kanda (Tokyo)","6",3900000000,"","290",,"Irregular Shaped","9.5","2,000 m^2 or greater.","2021","S","Office","Office","West","National Road",44.0,"Commercial Zone",80,800,"1st quarter 2023","",""
18,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Kodenmacho","4",29000000,"","25",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
19,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Kodenmacho","4",31000000,"","30",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
20,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Bakurocho","4",11000000,"1R","15",,"","","","1981","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
21,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Uchikanda","Ogawamachi (Tokyo)","3",6000000000,"","460",,"Rectangular Shaped","16.0","2,000 m^2 or greater.","2017","S","Office, Parking Lot","Office","North","Ward Road",22.0,"Commercial Zone",80,800,"1st quarter 2023","",""
22,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Uchikanda","Ogawamachi (Tokyo)","4",43000000,"1K","25",,"","","","2015","RC","","Other","","",,"Commercial Zone",80,800,"1st quarter 2023","Not yet",""
23,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandaawajicho","Awajicho","0",520000000,"","60",,"Semi-rectangular Shaped","7.2","450","1986","S","Office, Shop, Other","Office","Southeast","Tokyo Metropolitan Road",36.0,"Commercial Zone",80,800,"1st quarter 2023","",""
24,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandaawajicho","Shin-ochanomizu","2",280000000,"2LDK","80",,"","","","2013","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
25,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandaawajicho","Shin-ochanomizu","2",380000000,"3LDK","105",,"","","","2013","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
26,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandaizumicho","Akihabara","4",34000000,"1DK","30",,"","","","2004","RC","","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
27,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandaizumicho","Akihabara","4",24000000,"1DK","20",,"","","","2000","RC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
28,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandaogawamachi","Ogawamachi (Tokyo)","3",140000000,"","45",,"Rectangular Shaped","3.5","","","","","Other","West","Ward Road",11.0,"Commercial Zone",80,500,"1st quarter 2023","",""
29,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandaogawamachi","Ogawamachi (Tokyo)","3",19000000,"1K","20",,"","","","1980","SRC","House","Office","","",,"Commercial Zone",80,600,"1st quarter 2023","Done",""
30,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandaogawamachi","Shin-ochanomizu","4",18000000,"1K","15",,"","","","1982","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
31,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandaogawamachi","Jinbocho","4",300000000,"","150",,"Trapezoidal Shaped","10.0","380","1970","RC","House, Office, Workshop","Shop","Southwest","Private Road",4.0,"Commercial Zone",80,500,"1st quarter 2023","",""
32,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara","3",60000000,"1LDK","40",,"","","","2019","RC","","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
33,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara","5",36000000,"1R","30",,"","","","2018","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
34,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara","6",37000000,"1K","30",,"","","","2008","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
35,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Asakusabashi","5",58000000,"1LDK","55",,"","","","2006","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
36,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Asakusabashi","5",64000000,"1LDK","55",,"","","","2006","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
37,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasarugakucho","Jinbocho","3",130000000,"2LDK","55",,"","","","2016","RC","","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Done",""
38,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasarugakucho","Suidobashi","5",25000000,"","20",,"","","","2007","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
39,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jinbocho","1",110000000,"1LDK","50",,"","","","2003","SRC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Done",""
40,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasudacho","Akihabara","4",28000000,"1K","20",,"","","","2012","RC","House","Other","","",,"Commercial Zone",80,800,"2nd quarter 2023","Not yet",""
41,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasudacho","Kanda (Tokyo)","3",29000000,"1K","20",,"","","","2005","SRC","House","Other","","",,"Commercial Zone",80,700,"2nd quarter 2023","Done",""
42,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasudacho","Kanda (Tokyo)","1",32000000,"","25",,"","","","2016","RC","House","House","","",,"Commercial Zone",80,800,"1st quarter 2023","",""
43,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasudacho","Kanda (Tokyo)","2",93000000,"2DK","55",,"","","","2018","RC","House","Other","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
44,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasudacho","Kanda (Tokyo)","1",43000000,"","35",,"","","","2016","RC","House","House","","",,"Commercial Zone",80,800,"1st quarter 2023","",""
45,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasurugadai","Ochanomizu","1",15000000,"1K","15",,"","","","1977","SRC","House","Other","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
46,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandatacho","Kanda (Tokyo)","2",39000000,"1K","25",,"","","","2007","RC","House","House","","",,"Commercial Zone",80,700,"2nd quarter 2023","Not yet",""
47,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandatsukasamachi","Awajicho","4",28000000,"1K","20",,"","","","2005","SRC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
48,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandatomiyamacho","Kanda (Tokyo)","3",35000000,"1DK","30",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
49,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandanishikicho","Otemachi (Tokyo)","6",74000000,"2LDK","45",,"","","","","","House","House","","",,"",,,"1st quarter 2023","Not yet",""
50,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandanishikicho","Ogawamachi (Tokyo)","6",65000000,"2DK","40",,"","","","2015","RC","","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","",""
51,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandanishikicho","Ogawamachi (Tokyo)","5",48000000,"2DK","30",,"","","","2015","RC","","","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
52,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandahigashikon-yacho","Kanda (Tokyo)","4",26000000,"1K","20",,"","","","2005","SRC","House","House","","",,"Commercial Zone",80,800,"1st quarter 2023","Not yet",""
53,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandahigashimatsushitacho","Iwamotocho","2",23000000,"1K","20",,"","","","2003","RC","","House","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
54,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi","",750000000,"","70",,"Irregular Shaped","9.0","390","1999","S","Office, Shop","Office","Southwest","Ward Road",22.0,"Commercial Zone",80,600,"2nd quarter 2023","",""
55,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi","5",900000000,"","100",,"Semi-rectangular Shaped","8.9","540","2021","S","Office, Shop","Office","Northeast","Ward Road",11.0,"Commercial Zone",80,500,"1st quarter 2023","",""
56,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi","5",30000000,"1K","20",,"","","","2005","RC","House","Other","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
57,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandamitoshirocho","Ogawamachi (Tokyo)","1",68000000,"1LDK","40",,"","","","2017","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
58,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudankita","Ichigaya","4",59000000,"1LDK","45",,"","","","2005","S","House","Other","","",,"Commercial Zone",80,700,"2nd quarter 2023","Not yet",""
59,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudankita","Ichigaya","5",58000000,"Open Floor","55",,"","","","1976","RC","Office","Office","","",,"Commercial Zone",80,700,"1st quarter 2023","Done",""
60,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudankita","Kudanshita","2",88000000,"2DK","50",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
61,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudamminami","Ichigaya","2",26000000,"1K","30",,"","","","1985","SRC","House","Office","","",,"Commercial Zone",80,700,"2nd quarter 2023","Not yet",""
62,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kudamminami","Ichigaya","5",600000000,"","160",,"Rectangular Shaped","16.1","630","1984","RC","Office, Warehouse, Parking Lot","Office","Southeast","Ward Road",6.0,"Commercial Zone",80,700,"1st quarter 2023","",""
63,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudamminami","Ichigaya","2",35000000,"2K","35",,"","","","1985","SRC","","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
64,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudamminami","Ichigaya","2",43000000,"2DK","35",,"","","","1985","SRC","House","Office","","",,"Commercial Zone",80,700,"1st quarter 2023","Done",""
65,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudamminami","Kudanshita","7",28000000,"1K","20",,"","","","2003","SRC","","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
66,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kojimachi","Kojimachi","2",100000000,"2LDK","55",,"","","","2022","RC","House","House","","",,"Category II Residential Zone",60,400,"2nd quarter 2023","Not yet",""
67,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kojimachi","Kojimachi","2",76000000,"1LDK","40",,"","","","2022","RC","House","House","","",,"Category II Residential Zone",60,400,"2nd quarter 2023","Not yet",""
68,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kojimachi","Hanzomon","2",44000000,"1DK","30",,"","","","2003","RC","","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
69,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sambancho","Ichigaya","5",110000000,"3LDK","80",,"","","","1969","SRC","","House","","",,"Category I Residential Zone",60,400,"2nd quarter 2023","Done",""
70,"Residential Land(Land Only)","Commercial Area","13101","Tokyo","Chiyoda Ward","Sambancho","Ichigaya","6",150000000,"","50",2900000,"Rectangular Shaped","3.5","","","","","Other","Northwest","Ward Road",11.0,"Commercial Zone",80,500,"1st quarter 2023","",""
71,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Akihabara","6",88000000,"2LDK","50",,"","","","2019","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
72,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Akihabara","3",22000000,"1K","20",,"","","","2003","SRC","House","Other","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
73,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Shin-ochanomizu","4",28000000,"1K","20",,"","","","2004","SRC","","","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
74,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Suehirocho (Tokyo)","3",34000000,"Studio Apartment","20",,"","","","2014","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","",""
75,"Residential Land(Land and Building)","Residential Area","13101","Tokyo","Chiyoda Ward","Sotokanda","Suehirocho (Tokyo)","3",450000000,"","65",,"Rectangular Shaped","5.7","","2022","RC","Housing Complex, Office, Shop","House","East","Ward Road",8.0,"Commercial Zone",80,600,"1st quarter 2023","",""
76,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Suehirocho (Tokyo)","1",100000000,"2LDK","55",,"","","","2014","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
77,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Suehirocho (Tokyo)","2",35000000,"1R","30",,"","","","2005","RC","","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
78,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Sotokanda","Yushima","2",780000000,"","190",,"Rectangular Shaped","10.5","","1964","RC","Office","House","West","Tokyo Metropolitan Road",22.0,"Commercial Zone",80,600,"1st quarter 2023","",""
79,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Sotokanda","Yushima","2",540000000,"","135",,"Semi-rectangular Shaped","7.0","","1964","RC","Office","House","South","Tokyo Metropolitan Road",22.0,"Commercial Zone",80,600,"1st quarter 2023","",""
80,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Yushima","2",23000000,"1K","20",,"","","","2005","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
81,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Nagatacho","Tameikesanno","3",130000000,"2LDK","115",,"","","","1977","SRC","House","Office","","",,"Commercial Zone",80,500,"2nd quarter 2023","",""
82,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Nagatacho","Tameikesanno","2",160000000,"2LDK","115",,"","","","1977","SRC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
83,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Nishikanda","Jinbocho","5",29000000,"","20",,"","","","2001","SRC","","","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
84,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Nibancho","Kojimachi","1",20000000,"1R","20",,"","","","1982","SRC","","Other","","",,"Category II Residential Zone",60,400,"2nd quarter 2023","Not yet",""
85,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Nibancho","Kojimachi","1",22000000,"1K","20",,"","","","1982","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
86,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Nibancho","Kojimachi","2",14000000,"Open Floor","15",,"","","","1972","SRC","","Office","","",,"Category II Residential Zone",80,500,"2nd quarter 2023","Not yet",""
87,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Akihabara","8",66000000,"2LDK","50",,"","","","2005","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
88,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Asakusabashi","4",25000000,"1K","25",,"","","","2002","SRC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
89,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Asakusabashi","2",58000000,"3LDK","60",,"","","","1997","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
90,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Iwamotocho","5",62000000,"","50",,"","","","2012","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
91,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Bakurocho","2",24000000,"1K","20",,"","","","2004","RC","","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
92,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Bakurocho","3",26000000,"1K","20",,"","","","2004","RC","House","Other","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
93,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Bakurocho","2",70000000,"2LDK","65",,"","","","2005","SRC","","House","","",,"Commercial Zone",80,800,"1st quarter 2023","Done",""
94,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Bakurocho","3",24000000,"1K","20",,"","","","2003","SRC","House","House","","",,"Commercial Zone",80,700,"1st quarter 2023","Not yet",""
95,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Higashikanda","Bakurocho","3",99000000,"3LDK","70",,"","","","2018","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
96,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Hirakawacho","Hanzomon","2",1900000000,"","170",,"Rectangular Shaped","11.0","1100","2021","RC","Office, Shop","Office","North","Ward Road",11.0,"Commercial Zone",80,600,"1st quarter 2023","",""
97,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Hirakawacho","Hanzomon","3",290000000,"2LDK","110",,"","","","2018","RC","","","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
98,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Fujimi","Iidabashi","3",140000000,"","45",,"Semi-rectangular Shaped","5.0","95","1961","W","House, Shop","","Southwest","Ward Road",10.9,"Commercial Zone",80,500,"2nd quarter 2023","",""
99,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Yombancho","Ichigaya","2",240000000,"2LDK","115",,"","","","2003","RC","","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","",""
100,"Residential Land(Land and Building)","Residential Area","13101","Tokyo","Chiyoda Ward","Yombancho","Kojimachi","4",320000000,"","95",,"Rectangular Shaped","4.7","175","1998","S","House","House","Southeast","Ward Road",8.5,"Category II Residential Zone",60,400,"2nd quarter 2023","",""
101,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Rokubancho","Kojimachi","2",180000000,"3LDK","90",,"","","","1999","RC","House","House","","",,"Category I Residential Zone",60,400,"2nd quarter 2023","Not yet",""
102,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Rokubancho","Kojimachi","2",150000000,"3LDK","90",,"","","","1999","RC","","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Not yet",""
103,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Rokubancho","Yotsuya","4",160000000,"3LDK","100",,"","","","1978","SRC","House","House","","",,"Category II Residential Zone",60,400,"1st quarter 2023","Done",""
104,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Akashicho","Shintomicho (Tokyo)","3",80000000,"2LDK","55",,"","","","2014","RC","","House","","",,"Category II Residential Zone",60,400,"2nd quarter 2023","Not yet",""
105,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Akashicho","Shintomicho (Tokyo)","2",120000000,"2LDK","65",,"","","","2019","RC","House","House","","",,"Category II Residential Zone",60,400,"1st quarter 2023","Not yet",""
106,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Akashicho","Shintomicho (Tokyo)","8",59000000,"1LDK","35",,"","","","2017","RC","","House","","",,"Category II Residential Zone",60,400,"1st quarter 2023","Not yet",""
107,"Residential Land(Land Only)","Commercial Area","13102","Tokyo","Chuo Ward","Irifune","Shintomicho (Tokyo)","3",69000000,"","50",1400000,"Semi-square Shaped","3.9","","","","","House","Northwest","Ward Road",11.0,"Commercial Zone",80,500,"2nd quarter 2023","",""
108,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Irifune","Shintomicho (Tokyo)","3",26000000,"1K","20",,"","","","2002","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","",""
109,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Irifune","Shintomicho (Tokyo)","3",28000000,"1K","20",,"","","","2008","RC","","House","","",,"Commercial Zone",80,700,"2nd quarter 2023","",""
110,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Irifune","Shintomicho (Tokyo)","4",25000000,"1K","20",,"","","","2006","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
111,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Irifune","Hatchobori (Tokyo)","3",9900000,"1K","20",,"","","","1991","SRC","","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet","Dealings between related objects"
112,"Pre-owned Condominiums, etc.","","13102","Tokyo","Chuo Ward","Irifune","Hatchobori (Tokyo)","3",25000000,"1K","20",,"","","","2004","SRC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
